lab,th_in,r_in,w
1,26,29,45524.3
1,29,33,43482.6
6,30,34,43185.7
1,25,27,42649.1
1,25,28,42233.4
6,31,36,41304.6
1,30,35,40501.9
6,29,32,39737.1
1,25,26,39200.9
1,26,30,38707.4
6,31,37,38615
6,31,35,38517.6
1,28,32,38184.3
1,27,31,36678.7
6,27,30,36489.4
1,26,28,36458.9
1,30,36,35448.6
6,28,31,35395.3
5,33,23,34707.3
6,30,33,34628.1
1,29,34,33631.9
5,34,20,33172.9
5,33,22,33061.3
1,25,29,33036.9
5,34,21,32826.5
6,31,34,32125.1
3,12,4,31372.4
5,34,19,30480.9
1,30,37,30298.4
5,35,18,29883.2
6,31,38,29769.4
1,25,25,29255.9
5,34,22,28957.5
5,35,19,28803.4
5,33,24,28570.4
5,35,17,28334.7
1,28,33,27988.8
1,26,26,27751
6,27,29,27304.1
5,33,21,27255.8
3,8,4,27029.6
6,29,31,26788.7
3,10,4,26552.2
5,34,18,26399.2
5,35,20,26326.4
5,36,16,26294.3
5,34,26,26195.3
5,36,17,26143.7
1,26,27,26136.3
5,35,16,26019
5,36,15,25708.1
1,29,35,25555.1
1,27,32,25541.6
5,34,27,25155.3
5,36,14,25153.1
5,36,36,25089.1
5,32,24,25017.3
6,27,28,24781.2
1,30,38,24721.2
2,13,2,24687.2
5,36,13,24535.6
5,36,18,24531.8
1,26,25,24503.2
5,34,23,24163.3
5,35,15,24110.5
6,31,39,23889.1
5,36,35,23876.6
5,36,12,23807
5,5,1,23759.9
6,28,30,23670.7
5,35,21,23435.7
5,34,17,23184.8
5,36,11,23080.1
5,34,28,22952.3
5,33,20,22744.6
5,32,25,22690.6
1,26,31,22668.1
5,36,19,22656.8
5,35,14,22653.9
5,34,25,22651.6
6,30,32,22570.9
2,21,21,22289.9
5,36,10,21986
1,24,24,21866
5,35,13,21754.1
6,32,38,21723.4
5,33,28,21635.6
2,21,19,21565
3,13,22,21504.3
5,36,37,21435.4
5,33,25,21409.4
5,36,20,21363.5
5,33,30,21318.6
6,29,30,21222.7
5,33,29,21184.2
4,31,33,21020.8
5,1,10,20942.6
5,34,24,20824.6
5,35,12,20819.4
5,1,9,20816
5,34,16,20780.6
5,34,29,20755.2
5,36,9,20720.9
5,1,11,20695
5,1,12,20413
5,36,21,20412.8
5,7,2,20270.6
5,35,24,20179.3
5,1,8,20135.5
4,32,23,20076.5
5,33,27,20053.6
5,1,34,19962.7
3,12,5,19961.3
5,1,13,19957.8
6,31,40,19937
5,35,25,19870.3
1,24,27,19861.1
4,29,27,19828.4
5,35,22,19787.7
5,33,31,19783.9
5,35,11,19777.2
2,22,23,19760.5
6,27,27,19714.2
1,29,36,19705.2
5,1,14,19671.4
5,33,19,19670.5
2,21,18,19665.4
5,36,8,19486.5
1,30,39,19439.1
5,36,22,19305.6
5,1,15,19123.4
5,1,7,18943.5
6,29,29,18829.4
5,34,15,18812.6
4,30,31,18740.6
5,33,26,18692.5
6,32,39,18683.5
2,21,20,18652.8
6,27,26,18640.4
3,11,2,18640
5,35,10,18602.3
5,33,32,18480.5
1,24,28,18451.3
5,2,8,18317.8
5,2,7,18172.8
6,27,24,18166.3
5,36,7,18010.6
1,25,30,17958.9
5,34,30,17883.7
1,24,25,17875.4
5,2,9,17812.9
5,2,6,17704.9
5,1,16,17676.1
2,22,22,17582.5
5,1,6,17535.9
5,34,14,17518
6,28,29,17499.5
6,27,25,17463.8
4,29,28,17423.3
5,36,23,17393.2
5,35,9,17337.9
5,31,26,17288.1
1,28,34,17234
5,35,23,17062.5
4,33,18,17045.1
1,26,24,16910.7
5,2,10,16891.9
1,24,23,16865
1,16,2,16841.2
5,36,34,16717.2
6,28,27,16713.1
5,32,36,16706.2
4,32,22,16506
5,33,33,16399.7
5,34,13,16390.8
5,3,7,16291.5
5,36,6,16285.9
4,30,27,16282.9
6,28,26,16254.7
4,32,37,16153.5
5,2,5,16135.6
2,23,24,16133.9
6,28,28,16112.5
3,11,18,16093.8
5,1,5,16050.4
4,30,26,16022.9
3,11,19,16009.3
5,1,35,15996.5
5,3,6,15974.4
5,35,8,15929
1,24,26,15922.7
5,1,17,15887.4
5,2,11,15883.7
4,32,21,15857.6
1,29,37,15774.7
3,12,6,15647.1
1,27,23,15593.6
4,32,20,15517
5,34,12,15448.9
3,13,21,15320.5
5,1,33,15314.8
5,3,5,15307.7
4,30,24,15268
4,33,17,15194.7
2,21,22,15183.2
5,35,26,15139.4
5,32,35,15133.8
