r|th,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
8,-16.355003130921766,-16.364017106646163,-16.372617644586388,-16.3805439535634,-16.38755557602648,-16.393438673098444,-16.398014925943944,-16.401145292084994,-16.40273470587504,-16.40273469373154,-16.4011453919225,-16.39801486705878,-16.393438623297225,-16.387555403246466,-16.380544054486418,-16.372617613483385,-16.364016921342188,-16.355003332118645,-16.345850667881354,-16.336837078657812,-16.328236386516615,-16.320309945513582,-16.313298596753533,-16.307415376702775,-16.30283913294122,-16.2997086080775,-16.29811930626846,-16.29811929412496,-16.299708707915006,-16.302839074056056,-16.307415326901555,-16.31329842397352,-16.3203100464366,-16.328236355413612,-16.336836893353837,-16.345850869078234
9,-16.355801817520945,-16.366389030930073,-16.376490647951297,-16.385800360696496,-16.39403574379831,-16.400945636404185,-16.406320597128598,-16.409997315970237,-16.411864135174675,-16.41186412091173,-16.409997433232704,-16.40632052796602,-16.400945577911,-16.394035540862454,-16.38580047923393,-16.37649061141979,-16.36638881328441,-16.35580205383335,-16.34505194616665,-16.33446518671559,-16.32436338858021,-16.31505352076607,-16.306818459137546,-16.299908422089,-16.29453347203398,-16.290856566767296,-16.28898987908827,-16.288989864825325,-16.290856684029762,-16.2945334028714,-16.299908363595815,-16.30681825620169,-16.315053639303503,-16.324363352048703,-16.334464969069927,-16.345052182479055
10,-16.356739894946124,-16.369174915440045,-16.38103958745774,-16.39197414259566,-16.401646863234127,-16.409762752925246,-16.41607581606842,-16.42039423984807,-16.422586878663264,-16.422586861910982,-16.420394377576585,-16.416075734834763,-16.409762684223136,-16.40164662487948,-16.39197428182166,-16.38103954455032,-16.369174659808255,-16.356740172502597,-16.344113827497402,-16.331679340191744,-16.31981445544968,-16.30887971817834,-16.29920737512052,-16.291091315776864,-16.284778265165237,-16.280459622423415,-16.278267138089017,-16.278267121336736,-16.28045976015193,-16.28477818393158,-16.291091247074753,-16.299207136765872,-16.30887985740434,-16.31981441254226,-16.331679084559955,-16.344114105053876
11,-16.357841704736447,-16.372447049216426,-16.386382500472433,-16.399225498568235,-16.410586430144704,-16.420118812078314,-16.427533714367783,-16.432605846491985,-16.43518117358789,-16.435181153911774,-16.432606008258695,-16.427533618956154,-16.420118731385404,-16.410586150189257,-16.399225662093794,-16.38638245007624,-16.372446748968404,-16.35784203073574,-16.34301196926426,-16.328407251031596,-16.31447154992376,-16.301628337906205,-16.290267849810743,-16.280735268614595,-16.273320381043845,-16.268247991741305,-16.265672846088226,-16.26567282641211,-16.268248153508015,-16.273320285632217,-16.280735187921685,-16.290267569855295,-16.301628501431765,-16.314471499527567,-16.328406950783574,-16.343012295263552
12,-16.359135815300544,-16.376290274176256,-16.39265792136276,-16.40774244627604,-16.421086235173693,-16.432282332197754,-16.440991379530836,-16.446948766024256,-16.44997357265027,-16.449973549540022,-16.4469489560246,-16.440991267466732,-16.43228223742127,-16.421085906356783,-16.407742638342206,-16.39265786217077,-16.376289921525046,-16.359136198197465,-16.341717801802535,-16.324564078474953,-16.30819613782923,-16.293111361657793,-16.279768093643217,-16.26857176257873,-16.259862732533268,-16.2539050439754,-16.250880450459977,-16.25088042734973,-16.253905233975743,-16.259862620469164,-16.268571667802245,-16.279767764826307,-16.29311155372396,-16.30819607863724,-16.324563725823744,-16.341718184699456
13,-16.36065576270809,-16.38080418510194,-16.400028473754617,-16.417745697117088,-16.433418374232243,-16.44656852333562,-16.456797558572834,-16.463794686276046,-16.467347411663777,-16.46734738452011,-16.463794909437098,-16.456797426950207,-16.446568412017818,-16.433417988027003,-16.417745922704515,-16.40002840423186,-16.380803770902602,-16.36065621243192,-16.34019778756808,-16.320050229097397,-16.30082559576814,-16.283108077295484,-16.267436011972997,-16.25428558798218,-16.244056573049793,-16.2370590905629,-16.23350661547989,-16.233506588336223,-16.237059313723954,-16.244056441427166,-16.25428547666438,-16.267435625767757,-16.283108302882912,-16.300825526245383,-16.32004981489806,-16.340198237291908
14,-16.362441070367613,-16.386106157861004,-16.408685815169694,-16.429495367045124,-16.44790352168551,-16.46334887135108,-16.475363261814497,-16.483581654106565,-16.48775446503425,-16.487754433152983,-16.483581916217698,-16.475363107218723,-16.46334874060409,-16.447903068072783,-16.429495632006127,-16.408685733512577,-16.38610567136815,-16.362441598585335,-16.338412401414665,-16.31474832863185,-16.292168266487423,-16.271358367993873,-16.252950931927217,-16.23750525939591,-16.225490892781277,-16.2172720837823,-16.213099566847017,-16.21309953496575,-16.217272345893434,-16.225490738185503,-16.23750512864892,-16.25295047831449,-16.271358632954875,-16.292168184830306,-16.314747842138996,-16.338412929632387
15,-16.364537859090117,-16.392333161161485,-16.418853595355458,-16.44329499158984,-16.464915880122327,-16.483056871981,-16.497168107032522,-16.50682083687613,-16.51172191912457,-16.511721881679136,-16.506821144732932,-16.497167925455493,-16.48305671841503,-16.464915347341588,-16.443295302793892,-16.418853499446907,-16.392332589762123,-16.364538479496492,-16.336315520503508,-16.308521410237876,-16.282000500553092,-16.257558697206107,-16.23593865265841,-16.21779728158497,-16.203686074544507,-16.194032855267068,-16.189132118320863,-16.189132080875428,-16.19403316312387,-16.203685892967478,-16.217797128019,-16.235938119877673,-16.25755900841016,-16.282000404644542,-16.308520838838515,-16.336316140909883
16,-16.36700068599519,-16.39964721770034,-16.43079637353699,-16.45950362827504,-16.484898100375283,-16.506205314967026,-16.522779442541733,-16.53411690345766,-16.539873391967934,-16.53987334798699,-16.534117265045992,-16.52277922927331,-16.506205134598552,-16.484897474606107,-16.45950399379483,-16.43079626088912,-16.39964654657227,-16.36700141468367,-16.33385258531633,-16.30120745342773,-16.27005773911088,-16.24135000620517,-16.215956525393892,-16.194648865401447,-16.17807477072669,-16.166736734954007,-16.16098065201301,-16.160980608032066,-16.166737096542338,-16.178074557458267,-16.194648685032973,-16.215955899624717,-16.24135037172496,-16.27005762646301,-16.30120678229966,-16.33385331400481
17,-16.369893346308945,-16.408237785327685,-16.444823506507838,-16.478541133502347,-16.508367786932343,-16.53339382026266,-16.552860685221457,-16.566176910744108,-16.57293809826129,-16.572938046604207,-16.566177335441644,-16.55286043473059,-16.533393608413878,-16.5083670519456,-16.478541562817515,-16.444823374199164,-16.408236997065412,-16.369894202177836,-16.330959797822164,-16.292617002934588,-16.256030625800836,-16.222312437182485,-16.1924869480544,-16.167460391586122,-16.14799356526941,-16.134676664558356,-16.127915953395792,-16.12791590173871,-16.13467708925589,-16.147993314778542,-16.16746017973734,-16.192486213067657,-16.222312866497653,-16.256030493492162,-16.292616214672314,-16.330960653691054
