r|th,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
8,-68.18364271054097,-68.18205330594171,-68.1789229485699,-68.17434670380618,-68.16846324259909,-68.16145199741878,-68.15352569310778,-68.14492515835933,-68.13591118425552,-68.12675867694132,-68.11774521423844,-68.10914418061347,-68.10121793145761,-68.09420658462017,-68.08832336686068,-68.08374703692655,-68.08061664440596,-68.07902730706111,-68.07902730706111,-68.08061664440596,-68.08374703692655,-68.08832336686068,-68.09420658462017,-68.10121793145761,-68.10914418061347,-68.11774521423844,-68.12675867694132,-68.13591118425552,-68.14492515835933,-68.15352569310778,-68.16145199741878,-68.16846324259909,-68.17434670380618,-68.1789229485699,-68.18205330594171,-68.18364271054097
9,-68.19277214065497,-68.1909053322454,-68.18722862370353,-68.18185367247143,-68.17494335217678,-68.16670841220609,-68.15739870494129,-68.14729709166889,-68.1367098801632,-68.12595995680788,-68.11537334595953,-68.10527114674014,-68.09596150425686,-68.0877264448865,-68.08081641052914,-68.07544135926156,-68.07176460943629,-68.06989788001925,-68.06989788001925,-68.07176460943629,-68.07544135926156,-68.08081641052914,-68.0877264448865,-68.09596150425686,-68.10527114674014,-68.11537334595953,-68.12595995680788,-68.1367098801632,-68.14729709166889,-68.15739870494129,-68.16670841220609,-68.17494335217678,-68.18185367247143,-68.18722862370353,-68.1909053322454,-68.19277214065497
10,-68.20349488510003,-68.20130225896378,-68.19698384728153,-68.19067079528739,-68.18255440326212,-68.17288220309533,-68.1619476543943,-68.15008298677972,-68.13764796852145,-68.12502183999587,-68.11258752722884,-68.10072217140079,-68.08978769878775,-68.08011535838222,-68.07199930219943,-68.06568613271043,-68.06136767253952,-68.0591751391825,-68.0591751391825,-68.06136767253952,-68.06568613271043,-68.07199930219943,-68.08011535838222,-68.08978769878775,-68.10072217140079,-68.11258752722884,-68.12502183999587,-68.13764796852145,-68.15008298677972,-68.1619476543943,-68.17288220309533,-68.18255440326212,-68.19067079528739,-68.19698384728153,-68.20130225896378,-68.20349488510003
11,-68.21608918114809,-68.21351386894402,-68.20844175102862,-68.20102686183405,-68.19149388989231,-68.1801335696271,-68.16729057909164,-68.15335513300725,-68.13874979115312,-68.12391998394412,-68.10931547071287,-68.09537921629891,-68.0825363151313,-68.07117583015105,-68.06164325266745,-68.05422822547128,-68.04915605060432,-68.04658084737255,-68.04658084737255,-68.04915605060432,-68.05422822547128,-68.06164325266745,-68.07117583015105,-68.0825363151313,-68.09537921629891,-68.10931547071287,-68.12391998394412,-68.13874979115312,-68.15335513300725,-68.16729057909164,-68.1801335696271,-68.19149388989231,-68.20102686183405,-68.20844175102862,-68.21351386894402,-68.21608918114809
12,-68.23088158152997,-68.2278567923949,-68.22189942259018,-68.21319039063751,-68.20199360062944,-68.18865052973703,-68.17356601370362,-68.15719837259135,-68.14004391679977,-68.12262581904452,-68.10547233649785,-68.08910374597583,-68.07401933490793,-68.06067607055225,-68.04947974384828,-68.04077054980814,-68.03481311311195,-68.03178845196845,-68.03178845196845,-68.03481311311195,-68.04077054980814,-68.04947974384828,-68.06067607055225,-68.07401933490793,-68.08910374597583,-68.10547233649785,-68.12262581904452,-68.14004391679977,-68.15719837259135,-68.17356601370362,-68.18865052973703,-68.20199360062944,-68.21319039063751,-68.22189942259018,-68.2278567923949,-68.23088158152997
13,-68.24825542209325,-68.24470271724915,-68.23770560914731,-68.22747659197485,-68.21432562894113,-68.1986537951445,-68.1809365822117,-68.1617123006934,-68.14156388192194,-68.12110580781929,-68.10095853215297,-68.08173313552466,-68.06401604587697,-68.04834398485197,-68.03519356598271,-68.0249643584337,-68.01796717176585,-68.01441461725165,-68.01441461725165,-68.01796717176585,-68.0249643584337,-68.03519356598271,-68.04834398485197,-68.06401604587697,-68.08173313552466,-68.10095853215297,-68.12110580781929,-68.14156388192194,-68.1617123006934,-68.1809365822117,-68.1986537951445,-68.21432562894113,-68.22747659197485,-68.23770560914731,-68.24470271724915,-68.24825542209325
14,-68.26866247728405,-68.26448969048566,-68.25627132121615,-68.24425695197046,-68.22881064631278,-68.21040348218204,-68.18959394255666,-68.16701429362756,-68.14334921038882,-68.11932042520048,-68.09565668458214,-68.07307572591397,-68.05226633109163,-68.03385890007253,-68.01841323355669,-68.00639864070652,-67.99818017915824,-67.99400756892801,-67.99400756892801,-67.99818017915824,-68.00639864070652,-68.01841323355669,-68.03385890007253,-68.05226633109163,-68.07307572591397,-68.09565668458214,-68.11932042520048,-68.14334921038882,-68.16701429362756,-68.18959394255666,-68.21040348218204,-68.22881064631278,-68.24425695197046,-68.25627132121615,-68.26448969048566,-68.26866247728405
15,-68.29262993351232,-68.28772887960439,-68.2780761768014,-68.2639649666707,-68.24582285197276,-68.22420312682135,-68.19976174497498,-68.17324132062306,-68.1454460235489,-68.11722354844062,-68.08942982831135,-68.06290786563457,-68.0384666538634,-68.0168466152442,-67.99870525123609,-67.98459377847571,-67.97494096728876,-67.97004012076505,-67.97004012076505,-67.97494096728876,-67.98459377847571,-67.99870525123609,-68.0168466152442,-68.0384666538634,-68.06290786563457,-68.08942982831135,-68.11722354844062,-68.1454460235489,-68.17324132062306,-68.19976174497498,-68.22420312682135,-68.24582285197276,-68.2639649666707,-68.2780761768014,-68.28772887960439,-68.29262993351232
16,-68.32078140886682,-68.31502495364346,-68.30368752448767,-68.28711342618331,-68.2658048927785,-68.24041178710905,-68.21170454927022,-68.18055540499341,-68.14790887915765,-68.11476061812941,-68.08211594446931,-68.05096499337739,-68.02225795529768,-67.99686448144962,-67.97555682975565,-67.95898242298378,-67.9476448665273,-67.94188865488378,-67.94188865488378,-67.9476448665273,-67.95898242298378,-67.97555682975565,-67.99686448144962,-68.02225795529768,-68.05096499337739,-68.08211594446931,-68.11476061812941,-68.14790887915765,-68.18055540499341,-68.21170454927022,-68.24041178710905,-68.2658048927785,-68.28711342618331,-68.30368752448767,-68.31502495364346,-68.32078140886682
17,-68.3538461181096,-68.34708496968899,-68.33376878146969,-68.3143019508899,-68.28927436856969,-68.2594493200582,-68.22573171291238,-68.18914600530964,-68.15080157318468,-68.11186783636222,-68.07352557967928,-68.03693774991201,-68.00322037738992,-67.9733948964404,-67.94836834971893,-67.92890115683377,-67.91558481909557,-67.90882395676762,-67.90882395676762,-67.91558481909557,-67.92890115683377,-67.94836834971893,-67.9733948964404,-68.00322037738992,-68.03693774991201,-68.07352557967928,-68.11186783636222,-68.15080157318468,-68.18914600530964,-68.22573171291238,-68.2594493200582,-68.28927436856969,-68.3143019508899,-68.33376878146969,-68.34708496968899,-68.3538461181096
