r|th,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
8,0.052507500000000006,0.052507500000000006,0.052507500000000006,0.052507500000000006,0.052507500000000006,0.052507500000000006,0.052507500000000006,0.052507500000000006,0.052507500000000006,0.052507500000000006,0.052507500000000006,0.052507500000000006,0.052507500000000006,0.052507500000000006,0.052507500000000006,0.052507500000000006,0.052507500000000006,0.052507500000000006,0.052507500000000006,0.052507500000000006,0.052507500000000006,0.052507500000000006,0.052507500000000006,0.052507500000000006,0.052507500000000006,0.052507500000000006,0.052507500000000006,0.052507500000000006,0.052507500000000006,0.052507500000000006,0.052507500000000006,0.052507500000000006,0.052507500000000006,0.052507500000000006,0.052507500000000006,0.052507500000000006
9,0.061671800000000006,0.061671800000000006,0.061671800000000006,0.061671800000000006,0.061671800000000006,0.061671800000000006,0.061671800000000006,0.061671800000000006,0.061671800000000006,0.061671800000000006,0.061671800000000006,0.061671800000000006,0.061671800000000006,0.061671800000000006,0.061671800000000006,0.061671800000000006,0.061671800000000006,0.061671800000000006,0.061671800000000006,0.061671800000000006,0.061671800000000006,0.061671800000000006,0.061671800000000006,0.061671800000000006,0.061671800000000006,0.061671800000000006,0.061671800000000006,0.061671800000000006,0.061671800000000006,0.061671800000000006,0.061671800000000006,0.061671800000000006,0.061671800000000006,0.061671800000000006,0.061671800000000006,0.061671800000000006
10,0.0724355,0.0724355,0.0724355,0.0724355,0.0724355,0.0724355,0.0724355,0.0724355,0.0724355,0.0724355,0.0724355,0.0724355,0.0724355,0.0724355,0.0724355,0.0724355,0.0724355,0.0724355,0.0724355,0.0724355,0.0724355,0.0724355,0.0724355,0.0724355,0.0724355,0.0724355,0.0724355,0.0724355,0.0724355,0.0724355,0.0724355,0.0724355,0.0724355,0.0724355,0.0724355,0.0724355
11,0.0850779,0.0850779,0.0850779,0.0850779,0.0850779,0.0850779,0.0850779,0.0850779,0.0850779,0.0850779,0.0850779,0.0850779,0.0850779,0.0850779,0.0850779,0.0850779,0.0850779,0.0850779,0.0850779,0.0850779,0.0850779,0.0850779,0.0850779,0.0850779,0.0850779,0.0850779,0.0850779,0.0850779,0.0850779,0.0850779,0.0850779,0.0850779,0.0850779,0.0850779,0.0850779,0.0850779
12,0.0999268,0.0999268,0.0999268,0.0999268,0.0999268,0.0999268,0.0999268,0.0999268,0.0999268,0.0999268,0.0999268,0.0999268,0.0999268,0.0999268,0.0999268,0.0999268,0.0999268,0.0999268,0.0999268,0.0999268,0.0999268,0.0999268,0.0999268,0.0999268,0.0999268,0.0999268,0.0999268,0.0999268,0.0999268,0.0999268,0.0999268,0.0999268,0.0999268,0.0999268,0.0999268,0.0999268
13,0.11736700000000001,0.11736700000000001,0.11736700000000001,0.11736700000000001,0.11736700000000001,0.11736700000000001,0.11736700000000001,0.11736700000000001,0.11736700000000001,0.11736700000000001,0.11736700000000001,0.11736700000000001,0.11736700000000001,0.11736700000000001,0.11736700000000001,0.11736700000000001,0.11736700000000001,0.11736700000000001,0.11736700000000001,0.11736700000000001,0.11736700000000001,0.11736700000000001,0.11736700000000001,0.11736700000000001,0.11736700000000001,0.11736700000000001,0.11736700000000001,0.11736700000000001,0.11736700000000001,0.11736700000000001,0.11736700000000001,0.11736700000000001,0.11736700000000001,0.11736700000000001,0.11736700000000001,0.11736700000000001
14,0.137852,0.137852,0.137852,0.137852,0.137852,0.137852,0.137852,0.137852,0.137852,0.137852,0.137852,0.137852,0.137852,0.137852,0.137852,0.137852,0.137852,0.137852,0.137852,0.137852,0.137852,0.137852,0.137852,0.137852,0.137852,0.137852,0.137852,0.137852,0.137852,0.137852,0.137852,0.137852,0.137852,0.137852,0.137852,0.137852
15,0.161911,0.161911,0.161911,0.161911,0.161911,0.161911,0.161911,0.161911,0.161911,0.161911,0.161911,0.161911,0.161911,0.161911,0.161911,0.161911,0.161911,0.161911,0.161911,0.161911,0.161911,0.161911,0.161911,0.161911,0.161911,0.161911,0.161911,0.161911,0.161911,0.161911,0.161911,0.161911,0.161911,0.161911,0.161911,0.161911
16,0.19017,0.19017,0.19017,0.19017,0.19017,0.19017,0.19017,0.19017,0.19017,0.19017,0.19017,0.19017,0.19017,0.19017,0.19017,0.19017,0.19017,0.19017,0.19017,0.19017,0.19017,0.19017,0.19017,0.19017,0.19017,0.19017,0.19017,0.19017,0.19017,0.19017,0.19017,0.19017,0.19017,0.19017,0.19017,0.19017
17,0.223361,0.223361,0.223361,0.223361,0.223361,0.223361,0.223361,0.223361,0.223361,0.223361,0.223361,0.223361,0.223361,0.223361,0.223361,0.223361,0.223361,0.223361,0.223361,0.223361,0.223361,0.223361,0.223361,0.223361,0.223361,0.223361,0.223361,0.223361,0.223361,0.223361,0.223361,0.223361,0.223361,0.223361,0.223361,0.223361
18,0.262345,0.262345,0.262345,0.262345,0.262345,0.262345,0.262345,0.262345,0.262345,0.262345,0.262345,0.262345,0.262345,0.262345,0.262345,0.262345,0.262345,0.262345,0.262345,0.262345,0.262345,0.262345,0.262345,0.262345,0.262345,0.262345,0.262345,0.262345,0.262345,0.262345,0.262345,0.262345,0.262345,0.262345,0.262345,0.262345
19,0.308133,0.308133,0.308133,0.308133,0.308133,0.308133,0.308133,0.308133,0.308133,0.308133,0.308133,0.308133,0.308133,0.308133,0.308133,0.308133,0.308133,0.308133,0.308133,0.308133,0.308133,0.308133,0.308133,0.308133,0.308133,0.308133,0.308133,0.308133,0.308133,0.308133,0.308133,0.308133,0.308133,0.308133,0.308133,0.308133
20,0.361912,0.361912,0.361912,0.361912,0.361912,0.361912,0.361912,0.361912,0.361912,0.361912,0.361912,0.361912,0.361912,0.361912,0.361912,0.361912,0.361912,0.361912,0.361912,0.361912,0.361912,0.361912,0.361912,0.361912,0.361912,0.361912,0.361912,0.361912,0.361912,0.361912,0.361912,0.361912,0.361912,0.361912,0.361912,0.361912
21,0.42507799999999996,0.42507799999999996,0.42507799999999996,0.42507799999999996,0.42507799999999996,0.42507799999999996,0.42507799999999996,0.42507799999999996,0.42507799999999996,0.42507799999999996,0.42507799999999996,0.42507799999999996,0.42507799999999996,0.42507799999999996,0.42507799999999996,0.42507799999999996,0.42507799999999996,0.42507799999999996,0.42507799999999996,0.42507799999999996,0.42507799999999996,0.42507799999999996,0.42507799999999996,0.42507799999999996,0.42507799999999996,0.42507799999999996,0.42507799999999996,0.42507799999999996,0.42507799999999996,0.42507799999999996,0.42507799999999996,0.42507799999999996,0.42507799999999996,0.42507799999999996,0.42507799999999996,0.42507799999999996
22,0.49926800000000005,0.49926800000000005,0.49926800000000005,0.49926800000000005,0.49926800000000005,0.49926800000000005,0.49926800000000005,0.49926800000000005,0.49926800000000005,0.49926800000000005,0.49926800000000005,0.49926800000000005,0.49926800000000005,0.49926800000000005,0.49926800000000005,0.49926800000000005,0.49926800000000005,0.49926800000000005,0.49926800000000005,0.49926800000000005,0.49926800000000005,0.49926800000000005,0.49926800000000005,0.49926800000000005,0.49926800000000005,0.49926800000000005,0.49926800000000005,0.49926800000000005,0.49926800000000005,0.49926800000000005,0.49926800000000005,0.49926800000000005,0.49926800000000005,0.49926800000000005,0.49926800000000005,0.49926800000000005
23,0.586407,0.586407,0.586407,0.586407,0.586407,0.586407,0.586407,0.586407,0.586407,0.586407,0.586407,0.586407,0.586407,0.586407,0.586407,0.586407,0.586407,0.586407,0.586407,0.586407,0.586407,0.586407,0.586407,0.586407,0.586407,0.586407,0.586407,0.586407,0.586407,0.586407,0.586407,0.586407,0.586407,0.586407,0.586407,0.586407
24,0.688754,0.688754,0.688754,0.688754,0.688754,0.688754,0.688754,0.688754,0.688754,0.688754,0.688754,0.688754,0.688754,0.688754,0.688754,0.688754,0.688754,0.688754,0.688754,0.688754,0.688754,0.688754,0.688754,0.688754,0.688754,0.688754,0.688754,0.688754,0.688754,0.688754,0.688754,0.688754,0.688754,0.688754,0.688754,0.688754
25,0.8089649999999999,0.8089649999999999,0.8089649999999999,0.8089649999999999,0.8089649999999999,0.8089649999999999,0.8089649999999999,0.8089649999999999,0.8089649999999999,0.8089649999999999,0.8089649999999999,0.8089649999999999,0.8089649999999999,0.8089649999999999,0.8089649999999999,0.8089649999999999,0.8089649999999999,0.8089649999999999,0.8089649999999999,0.8089649999999999,0.8089649999999999,0.8089649999999999,0.8089649999999999,0.8089649999999999,0.8089649999999999,0.8089649999999999,0.8089649999999999,0.8089649999999999,0.8089649999999999,0.8089649999999999,0.8089649999999999,0.8089649999999999,0.8089649999999999,0.8089649999999999,0.8089649999999999,0.8089649999999999
26,0.950155,0.950155,0.950155,0.950155,0.950155,0.950155,0.950155,0.950155,0.950155,0.950155,0.950155,0.950155,0.950155,0.950155,0.950155,0.950155,0.950155,0.950155,0.950155,0.950155,0.950155,0.950155,0.950155,0.950155,0.950155,0.950155,0.950155,0.950155,0.950155,0.950155,0.950155,0.950155,0.950155,0.950155,0.950155,0.950155
27,1.11599,1.11599,1.11599,1.11599,1.11599,1.11599,1.11599,1.11599,1.11599,1.11599,1.11599,1.11599,1.11599,1.11599,1.11599,1.11599,1.11599,1.11599,1.11599,1.11599,1.11599,1.11599,1.11599,1.11599,1.11599,1.11599,1.11599,1.11599,1.11599,1.11599,1.11599,1.11599,1.11599,1.11599,1.11599,1.11599
28,1.31077,1.31077,1.31077,1.31077,1.31077,1.31077,1.31077,1.31077,1.31077,1.31077,1.31077,1.31077,1.31077,1.31077,1.31077,1.31077,1.31077,1.31077,1.31077,1.31077,1.31077,1.31077,1.31077,1.31077,1.31077,1.31077,1.31077,1.31077,1.31077,1.31077,1.31077,1.31077,1.31077,1.31077,1.31077,1.31077
29,1.53954,1.53954,1.53954,1.53954,1.53954,1.53954,1.53954,1.53954,1.53954,1.53954,1.53954,1.53954,1.53954,1.53954,1.53954,1.53954,1.53954,1.53954,1.53954,1.53954,1.53954,1.53954,1.53954,1.53954,1.53954,1.53954,1.53954,1.53954,1.53954,1.53954,1.53954,1.53954,1.53954,1.53954,1.53954,1.53954
30,1.80824,1.80824,1.80824,1.80824,1.80824,1.80824,1.80824,1.80824,1.80824,1.80824,1.80824,1.80824,1.80824,1.80824,1.80824,1.80824,1.80824,1.80824,1.80824,1.80824,1.80824,1.80824,1.80824,1.80824,1.80824,1.80824,1.80824,1.80824,1.80824,1.80824,1.80824,1.80824,1.80824,1.80824,1.80824,1.80824
31,2.12383,2.12383,2.12383,2.12383,2.12383,2.12383,2.12383,2.12383,2.12383,2.12383,2.12383,2.12383,2.12383,2.12383,2.12383,2.12383,2.12383,2.12383,2.12383,2.12383,2.12383,2.12383,2.12383,2.12383,2.12383,2.12383,2.12383,2.12383,2.12383,2.12383,2.12383,2.12383,2.12383,2.12383,2.12383,2.12383
32,2.49451,2.49451,2.49451,2.49451,2.49451,2.49451,2.49451,2.49451,2.49451,2.49451,2.49451,2.49451,2.49451,2.49451,2.49451,2.49451,2.49451,2.49451,2.49451,2.49451,2.49451,2.49451,2.49451,2.49451,2.49451,2.49451,2.49451,2.49451,2.49451,2.49451,2.49451,2.49451,2.49451,2.49451,2.49451,2.49451
33,2.9298900000000003,2.9298900000000003,2.9298900000000003,2.9298900000000003,2.9298900000000003,2.9298900000000003,2.9298900000000003,2.9298900000000003,2.9298900000000003,2.9298900000000003,2.9298900000000003,2.9298900000000003,2.9298900000000003,2.9298900000000003,2.9298900000000003,2.9298900000000003,2.9298900000000003,2.9298900000000003,2.9298900000000003,2.9298900000000003,2.9298900000000003,2.9298900000000003,2.9298900000000003,2.9298900000000003,2.9298900000000003,2.9298900000000003,2.9298900000000003,2.9298900000000003,2.9298900000000003,2.9298900000000003,2.9298900000000003,2.9298900000000003,2.9298900000000003,2.9298900000000003,2.9298900000000003,2.9298900000000003
34,3.44125,3.44125,3.44125,3.44125,3.44125,3.44125,3.44125,3.44125,3.44125,3.44125,3.44125,3.44125,3.44125,3.44125,3.44125,3.44125,3.44125,3.44125,3.44125,3.44125,3.44125,3.44125,3.44125,3.44125,3.44125,3.44125,3.44125,3.44125,3.44125,3.44125,3.44125,3.44125,3.44125,3.44125,3.44125,3.44125
35,4.04186,4.04186,4.04186,4.04186,4.04186,4.04186,4.04186,4.04186,4.04186,4.04186,4.04186,4.04186,4.04186,4.04186,4.04186,4.04186,4.04186,4.04186,4.04186,4.04186,4.04186,4.04186,4.04186,4.04186,4.04186,4.04186,4.04186,4.04186,4.04186,4.04186,4.04186,4.04186,4.04186,4.04186,4.04186,4.04186
36,4.7473,4.7473,4.7473,4.7473,4.7473,4.7473,4.7473,4.7473,4.7473,4.7473,4.7473,4.7473,4.7473,4.7473,4.7473,4.7473,4.7473,4.7473,4.7473,4.7473,4.7473,4.7473,4.7473,4.7473,4.7473,4.7473,4.7473,4.7473,4.7473,4.7473,4.7473,4.7473,4.7473,4.7473,4.7473,4.7473
37,5.57586,5.57586,5.57586,5.57586,5.57586,5.57586,5.57586,5.57586,5.57586,5.57586,5.57586,5.57586,5.57586,5.57586,5.57586,5.57586,5.57586,5.57586,5.57586,5.57586,5.57586,5.57586,5.57586,5.57586,5.57586,5.57586,5.57586,5.57586,5.57586,5.57586,5.57586,5.57586,5.57586,5.57586,5.57586,5.57586
38,6.54903,6.54903,6.54903,6.54903,6.54903,6.54903,6.54903,6.54903,6.54903,6.54903,6.54903,6.54903,6.54903,6.54903,6.54903,6.54903,6.54903,6.54903,6.54903,6.54903,6.54903,6.54903,6.54903,6.54903,6.54903,6.54903,6.54903,6.54903,6.54903,6.54903,6.54903,6.54903,6.54903,6.54903,6.54903,6.54903
39,7.69205,7.69205,7.69205,7.69205,7.69205,7.69205,7.69205,7.69205,7.69205,7.69205,7.69205,7.69205,7.69205,7.69205,7.69205,7.69205,7.69205,7.69205,7.69205,7.69205,7.69205,7.69205,7.69205,7.69205,7.69205,7.69205,7.69205,7.69205,7.69205,7.69205,7.69205,7.69205,7.69205,7.69205,7.69205,7.69205
40,9.03457,9.03457,9.03457,9.03457,9.03457,9.03457,9.03457,9.03457,9.03457,9.03457,9.03457,9.03457,9.03457,9.03457,9.03457,9.03457,9.03457,9.03457,9.03457,9.03457,9.03457,9.03457,9.03457,9.03457,9.03457,9.03457,9.03457,9.03457,9.03457,9.03457,9.03457,9.03457,9.03457,9.03457,9.03457,9.03457
