r|th,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
8,20135.5,18317.8,14839.3,11900.1,9655.58,7695.13,6655.71,5937.5,6263.53,8864.7,11530.6,13515.5,12538.6,9564.29,8444.01,8547.76,9073.3,9587.05,9784.86,9196.19,9727.12,8572.18,7303.01,6465.61,6272.62,7194.22,7455.63,6251.99,5377.19,5910.73,7952.08,10137.9,11086.0,12560.2,15929.0,19486.5
9,20816.0,17812.9,13410.3,11402.0,8683.28,6938.22,6118.13,5309.85,5616.46,8101.08,11221.6,12597.6,12052.3,9417.6,8123.93,8421.36,8701.48,9438.06,10128.8,8927.62,10095.2,9332.58,7942.55,6869.9,6464.83,7378.51,8049.65,6525.49,5546.07,6100.61,8457.63,10792.1,11661.8,13202.6,17337.9,20720.9
10,20942.6,16891.9,12719.0,10612.3,7837.46,6389.74,5565.26,4930.67,5258.97,7503.9,10927.6,11961.4,11430.5,9480.2,7771.39,8341.28,8547.7,9012.57,10526.3,8472.32,10118.4,9980.53,8688.26,7231.6,6664.98,7465.33,8595.06,6868.13,5769.94,6333.44,9001.38,11502.4,11877.4,13893.8,18602.3,21986.0
11,20695.0,15883.7,12295.2,9876.1,7142.48,6021.53,5024.17,4490.8,4804.01,7020.54,10699.1,11616.0,10984.9,9584.41,7481.15,8260.52,8727.11,8237.34,10796.2,8334.49,9970.73,10201.4,9453.48,7627.57,6883.54,7397.31,9056.6,7396.54,6117.51,6643.76,9598.19,11976.4,11928.0,14602.1,19777.2,23080.1
12,20413.0,14951.9,11911.9,9215.21,6651.97,5605.86,4580.09,3832.24,4267.87,6523.97,10664.6,11443.9,10625.0,9615.99,7342.31,8194.81,8941.17,7521.83,10686.2,8643.07,9970.93,9912.04,9931.57,8111.28,7296.91,7131.44,9547.5,8160.14,6625.6,7086.85,10162.5,12099.4,11936.6,15448.9,20819.4,23807.0
13,19957.8,14196.2,11440.6,8491.71,6289.0,5138.51,3880.3,3071.76,3760.37,6293.04,10754.5,11275.7,10150.0,9765.07,7524.25,8143.67,9047.85,7064.55,10250.8,8919.45,10342.1,9547.86,9896.43,8450.81,7988.94,6871.18,9796.55,9209.82,7343.38,7612.38,10158.3,12258.5,12091.1,16390.8,21754.1,24535.6
14,19671.4,13528.8,10723.0,7694.99,5995.2,4314.42,3145.65,2586.08,3122.0,5937.5,10844.6,11028.9,9618.17,9839.05,8142.6,7891.42,9238.17,6913.53,9721.63,8940.74,11194.2,9176.19,9569.57,8843.58,8347.93,6997.24,9993.82,10594.7,7861.64,7782.97,9741.66,12755.1,12555.6,17518.0,22653.9,25153.1
15,19123.4,12722.6,10265.0,6721.93,5214.69,3643.1,2610.37,2237.61,2568.28,5813.31,11789.3,10043.8,9490.67,9484.94,8794.89,7368.62,9088.44,6775.66,9359.34,8779.25,11673.0,8928.08,9155.68,9023.83,8121.72,7871.52,12256.6,10584.0,8120.59,7515.24,9422.32,13255.1,13130.8,18812.6,24110.5,25708.1
16,17676.1,12069.3,9155.72,5745.86,4338.61,3055.04,2218.59,1983.32,2169.16,5950.07,13612.6,7843.89,10452.9,9051.42,8818.45,6975.7,8732.36,6641.26,9054.84,8960.48,10349.8,11599.1,8041.06,7101.65,7843.22,10717.4,13615.2,10330.3,8529.72,7044.59,9257.75,13455.7,14045.6,20780.6,26019.0,26294.3
17,15887.4,11216.8,7439.4,4816.43,3436.03,2816.61,2146.01,1925.45,2238.86,5502.56,14854.2,6063.29,10886.7,9149.65,8427.52,6444.68,8880.08,7059.91,8082.8,10632.9,13235.2,9925.66,5994.79,6576.98,9127.45,14261.5,9295.51,11810.0,8800.46,6816.75,9064.43,13722.1,15194.7,23184.8,28334.7,26143.7
18,14540.5,9425.87,6000.09,4188.31,2846.34,2792.93,2173.29,1796.94,2062.63,3935.89,16093.8,5196.07,10018.8,9764.49,8712.11,5698.0,9436.22,7688.14,7854.59,9414.54,19665.4,5140.79,6202.13,5975.1,13757.5,10952.4,8944.57,11601.5,9293.3,7022.74,8827.09,14409.5,17045.1,26399.2,29883.2,24531.8
19,12716.3,7951.8,5251.59,3799.47,2776.41,2588.17,2061.93,1820.99,1666.6,2511.78,16009.3,5935.77,9496.1,9519.87,8425.53,5406.62,9949.4,9564.66,6646.36,7713.11,21565.0,5108.91,6335.1,7033.11,12302.0,11015.2,10093.2,11206.3,9699.98,7549.09,9089.05,14777.6,19670.5,30480.9,28803.4,22656.8
20,10773.7,7064.01,4820.41,3566.76,2680.03,2501.42,2014.23,1943.65,1725.55,1711.07,10343.6,11652.2,10401.4,8531.6,7837.89,5002.62,9907.85,8627.29,4968.68,12143.9,18652.8,6139.07,7216.39,7011.45,8438.4,12179.9,11720.9,10810.7,10136.7,9809.09,9545.57,15517.0,22744.6,33172.9,26326.4,21363.5
21,9419.89,5994.85,4554.2,3355.86,2625.45,2482.98,2105.61,1991.81,1805.83,1550.02,3179.7,13790.8,15320.5,6739.09,6287.96,6188.02,9314.78,7345.35,4227.95,8479.4,22289.9,8025.14,7210.2,7827.41,10534.3,10566.9,10881.1,10935.9,10073.4,12820.0,11186.6,15857.6,27255.8,32826.5,23435.7,20412.8
22,8024.6,5441.31,4312.78,3389.4,2747.48,2605.42,2143.25,2033.41,1878.7,1635.34,2089.44,3808.89,21504.3,7894.92,4229.26,7557.34,6978.64,9236.89,5538.49,4394.81,15183.2,17582.5,7269.1,10878.0,13239.3,8680.69,11233.8,12858.7,11600.0,12211.0,12962.1,16506.0,33061.3,28957.5,19787.7,19305.6
23,7151.82,5334.34,4183.37,3439.69,3159.42,2783.13,2222.31,2195.46,1788.7,1879.43,1882.59,2410.16,9142.37,14997.8,9446.32,6175.9,5816.48,6510.11,8674.51,4719.32,5434.45,19760.5,12011.4,16865.0,9896.56,10664.1,15593.6,13266.0,11927.8,12958.8,12713.0,20076.5,34707.3,24163.3,17062.5,17393.2
